X;Y;Z
10.141.296;0.69744873;0.13415527
0.3523407;0.23413086;0.945755
-0.7947693;-0.16445923;0.9337921
-1.131.485;-0.7953949;-0.17503357
-0.7504883;-0.15170288;-0.1937561
-0.3670349;0.9282837;-0.014877319
-0.574234;0.87516785;-0.10871887
-0.56866455;0.7893982;0.3091278
-0.57492065;10.339.966;0.42027283
0.044509888;10.118.866;-0.10481262
-0.69184875;-0.9680939;-0.5265045
-0.17407227;-0.84410095;-0.5431366
10.325.012;-0.4454193;-0.6916809
17.455.139;0.20272827;-0.7662811
0.69914246;0.19314575;0.41923523
0.7219391;-11.423.035;0.5292816
0.49362183;-0.53486633;-0.06100464
0.05303955;-0.47714233;-0.5463257
0.00642395;-0.27124023;0.18519592
0.48143005;0.14541626;-0.012039185
0.7079315;0.4514923;0.18006897
-0.23194885;0.0035095215;10.967.407
-0.77111816;0.075042725;0.8625183
-10.643.768;0.21809387;-0.36401367
-0.66625977;16.318.207;-0.12905884
-0.22229004;19.284.973;-0.11968994
-0.5098114;15.119.476;-0.007980347
-0.68315125;0.41041565;0.58984375
-0.8436279;0.43984985;0.58532715
0.31323242;-0.22767639;-0.4691925
-14.577.026;-14.737.854;-0.9741516
0.31437683;-12.064.056;-0.0019683838
0.75335693;0.053649902;-0.022399902
1.249.649;0.5309143;-0.1892395
0.6123047;-0.6821594;0.3441925
12.366.638;-1.084.671;0.28100586
0.60809326;-0.63552856;-0.22990417
0.32839966;-0.46704102;-0.42636108
0.029327393;-0.4893036;-0.16171265
0.2924652;-0.5031891;0.19898987
10.309.448;0.14506531;0.64224243
-0.374115;0.4243927;0.76065063
-0.80381775;-0.014984131;0.7378082
-10.688.629;-0.12939453;-0.3015442
-0.8431244;13.106.842;-0.24838257
-0.37583923;18.289.185;-0.25737
-0.15037537;12.630.615;-0.056793213
-0.18545532;0.80078125;0.3577881
-0.6805725;0.80670166;0.35168457
-0.32769775;-0.12834167;-0.17098999
-16.369.934;0.81829834;-0.4374237
0.115448;-0.45820618;-0.8232727
0.21116638;-0.57910156;0.04660034
10.231.171;5,34E+02;0.09170532
0.68992615;-0.2506714;-0.44314575
0.92433167;-0.9794769;0.44473267
0.96746826;-0.5442352;-0.23672485
0.63079834;-0.57614136;-0.41358948
0.20376587;-0.9053955;-0.5862274
0.119659424;-0.73269653;-0.11582947
0.72343445;0.19052124;0.33555603
0.56010437;0.9418793;0.49267578
-0.5589905;0.035125732;0.72106934
-0.8176422;0.04878235;0.30825806
-0.9296112;0.37219238;-0.3390808
-0.4898224;1.487.793;-0.1471405
-0.23510742;15.013.428;-0.16461182
-0.46403503;0.8134155;0.128479
-0.887146;0.6499939;0.43902588
-0.27789307;0.47601318;0.12988281
-0.9186249;-0.20370483;-0.42807007
-14.343.414;-0.3811798;-0.43702698
10.280.914;0.15409851;0.07826233
11.891.022;-0.25109863;-0.19975281
12.822.418;-10.449.524;0.0039978027
0.97839355;-16.952.515;0.4589386
0.92585754;-0.98931885;-0.27514648
0.46774292;-0.4632721;-0.52578735
0.14378357;-0.69348145;-0.1431427
0.24414063;-0.5286255;0.07121277
0.5056915;0.102645874;0.2741089
-0.025115967;0.3477478;0.5955353
-0.70796204;0.13420105;0.79255676
-0.90504456;-0.27467346;0.057006836
-0.8433533;0.55477905;-0.38684082
-0.3637848;14.486.847;-0.26223755
-0.4375;14.178.925;-0.14233398
-0.58078;0.86968994;0.48641968
-0.5904236;0.20855713;0.48820496
-0.8045654;0.42800903;-0.37704468
-0.18858337;0.024276733;-0.54797363
-0.10548401;-0.74961853;-0.08061218
0.6103821;-0.33441162;-0.328537
11.135.864;0.014099121;-0.2976532
0.8514862;-0.7174072;0.2834015
0.86964417;-0.7887573;-0.13398743
0.8871155;-0.93463135;-0.25906372
0.5039978;-0.7949066;-0.41534424
0.20812988;-0.42333984;-0.051376343
0.57270813;0.06674194;0.056152344
0.6581726;0.6671295;0.28338623
-0.5747528;0.74783325;0.5732269
-0.9563751;0.40905762;0.4751587
-0.8002777;0.25334167;-0.19784546
-0.60284424;0.9372864;-0.27949524
-0.44918823;15.438.538;-0.11361694
-0.49247742;13.022.461;0.06448364
-0.38981628;10.977.783;0.49313354
-0.8614807;0.651474;0.2704773
0.6537018;0.07086182;-0.38613892
-20.583.801;-14.676.056;-0.61642456
-0.0028381348;-0.8298187;-0.3380432
0.9262543;0.02420044;-0.08004761
13.169.098;0.17416382;-0.28866577
0.6382141;-10.202.332;0.50935364
10.484.161;-11.457.825;0.19659424
0.8712616;-0.7529907;-0.34814453
0.4474945;-0.29338074;-0.36730957
-0.07284546;-0.2170105;-0.24157715
0.21998596;-0.414505;0.45385742
0.95469666;0.7123413;0.16769409
0.056289673;0.38609314;0.5070648
-10.225.677;-0.3660736;0.9851227
-10.157.776;-0.7533722;-0.09573364
-0.76956177;0.32434082;-0.2876892
-0.5624542;12.557.526;-0.0118255615
-0.5430145;14.990.692;-0.005279541
-0.066848755;0.95188904;0.25527954
-0.49412537;10.489.197;0.42259216
-0.29441833;0.11717224;0.30387878
-0.25990295;0.58940125;-0.2270813
-0.8195038;-0.84347534;-0.33641052
0.0773468;-0.22962952;-0.20140076
10.094.604;-0.16848755;-0.04534912
10.972.443;0.07312012;-0.46029663
0.7932892;-10.143.738;0.44792175
0.89289856;-10.775.452;-0.1561737
0.5066376;-0.98165894;-0.45648193
-0.057647705;-0.9547577;-0.7424774
0.120025635;-0.9620056;-0.11608887
0.68200684;-0.25061035;-0.005859375
0.27719116;-0.07118225;0.5565033
-0.7273712;-0.32028198;0.893631
-0.5468445;-0.46569824;0.31193542
-0.552124;0.09498596;-0.39517212
-0.28042603;1.730.957;-0.048110962
-0.2618103;2.060.089;0.009399414
-0.5343933;17.168.427;0.2549591
-0.5004425;15.052.795;0.4710083
-0.31800842;0.81869507;0.08880615
-0.8122101;-0.20741272;-0.33883667
-16.707.153;-0.88243103;-0.51171875
0.48010254;-0.23301697;-0.5535431
11.599.121;-0.22787476;-0.3704071
12.552.948;-0.5369873;-4,58E+03
0.8283386;-14.526.825;0.5825043
0.6571808;-11.474.762;0.12831116
0.39466858;-0.7564087;-0.5119171
0.059555054;-0.80555725;-0.43807983
0.025817871;-0.47016907;-0.018951416
0.65457153;0.13442993;0.24995422
0.68092346;0.46583557;0.6435089
-0.12432861;0.22138977;0.9790039
-0.8335571;-0.3932953;0.33117676
-0.94833374;0.16026306;-0.23936462
-0.53240967;15.489.044;-0.14025879
-0.23284912;177.742;-0.2527771
